ad,andorra la vella,20430.0
ad,andorra la vella,20430.0
ad,canillo,3292.0
ad,encamp,11224.0
ad,andorra la vella,20430.0
ad,andorra la vella,20430.0
ae,abu dhabi,603687.0
ae,abu dhabi,603687.0
ae,dubai,1137376.0
ae,sharjah,543942.0
af,acin,15098.0
af,acin,15098.0
af,anar darreh,10023.0
af,andarab,27034.0
ad,andorra la vella,20430.0
ae,abu dhabi,603687.0
ag,all saints,2526.0
ag,all saints,2526.0
ag,carlisle,831.0
ag,codrington,682.0
af,acin,15098.0
ad,andorra la vella,20430.0
ai,the valley,1379.0
ai,the valley,1379.0
al,bajram curri,7967.0
al,bajram curri,7967.0
al,ballsh,10361.0
al,berat,47606.0
ae,abu dhabi,603687.0
ag,all saints,2526.0
am,abovyan,1379.0
am,abovyan,1379.0
am,abovyan,35677.0
am,agarakadzor,1195.0
af,acin,15098.0
ad,andorra la vella,20430.0
an,barber,2424.0
an,barber,2424.0
an,golden rock,823.0
an,hato,13.0
ai,the valley,1379.0
al,bajram curri,7967.0
ao,benguela,151235.0
ao,benguela,151235.0
ao,caala,21205.0
ao,cabinda,66020.0
ae,abu dhabi,603687.0
ag,all saints,2526.0
ar,alta gracia,40385.0
ar,alta gracia,40385.0
ar,azul,52333.0
ar,bahia blanca,282950.0
am,abovyan,1379.0
af,acin,15098.0
at,absam,6594.0
at,absam,6594.0
at,abtenau,5829.0
at,altach,6040.0
ad,andorra la vella,20430.0
an,barber,2424.0
au,adelaide,1074168.0
au,adelaide,1074168.0
au,albany,23913.0
au,albury,104261.0
ai,the valley,1379.0
al,bajram curri,7967.0
aw,oranjestad,29998.0
aw,oranjestad,29998.0
az,agdam,39451.0
az,agdam,39451.0
az,agdas,23528.0
az,agstafa,12542.0
ao,benguela,151235.0
ae,abu dhabi,603687.0
ba,banja luka,221100.0
ba,banja luka,221100.0
ba,banovici,7211.0
ba,barice,3697.0
ag,all saints,2526.0
ar,alta gracia,40385.0
bb,bathsheba,1765.0
bb,bathsheba,1765.0
bb,blackmans,623.0
bb,bridgetown,98511.0
am,abovyan,1379.0
af,acin,15098.0
bd,abhaynagar,42658.0
bd,abhaynagar,42658.0
bd,badarganj,32604.0
bd,bajitpur,34564.0
at,absam,6594.0
ad,andorra la vella,20430.0
be,aalst,77534.0
be,aalst,77534.0
be,aalter,18802.0
be,aarschot,27656.0
an,barber,2424.0
au,adelaide,1074168.0
bf,banfora,63883.0
bf,banfora,63883.0
bf,batie,6525.0
bf,bobo dioulasso,370809.0
ai,the valley,1379.0
al,bajram curri,7967.0
bg,ahtopol,857.0
bg,ahtopol,857.0
bg,ajtos,21177.0
bg,alfatar,1941.0
aw,oranjestad,29998.0
az,agdam,39451.0
bh,manama,147097.0
bh,manama,147097.0
bh,sitrah,37690.0
bi,bubanza,12728.0
bi,bubanza,12728.0
bi,bujumbura,330539.0
bi,bururi,19740.0
ao,benguela,151235.0
ae,abu dhabi,603687.0
bj,abomey,82158.0
bj,abomey,82158.0
bj,abomey-calavi,385823.0
bj,allada,20094.0
ba,banja luka,221100.0
ag,all saints,2526.0
bm,hamilton,902.0
bm,hamilton,902.0
bm,saint george,1802.0
bo,abapo,2419.0
bo,abapo,2419.0
bo,achacachi,8447.0
bo,aiquile,8225.0
ar,alta gracia,40385.0
bb,bathsheba,1765.0
br,abadiania,7062.0
br,abadiania,7062.0
br,abaete,20371.0
br,abaetetuba,78052.0
am,abovyan,1379.0
af,acin,15098.0
bs,albert town,25.0
bs,albert town,25.0
bs,alice town,950.0
bs,andros town,2456.0
bd,abhaynagar,42658.0
at,absam,6594.0
bt,chhukha,1203.0
bt,chhukha,1203.0
bt,damphu,2040.0
bt,gasa,1612.0
ad,andorra la vella,20430.0
be,aalst,77534.0
bw,boatlaname,853.0
bw,boatlaname,853.0
bw,bobonong,18136.0
bw,bokaa,4131.0
an,barber,2424.0
au,adelaide,1074168.0
by,braslav,12378.0
by,braslav,12378.0
by,brest,300716.0
by,disna,2738.0
bf,banfora,63883.0
ai,the valley,1379.0
bz,belize,61462.0
bz,belize,61462.0
bz,belmopan,13381.0
